
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:42:F7:E2:21:7B, 2026-05-16 12:27:02, 2026-05-16 12:27:52, 10, 270, WPA2, CCMP, PSK, -80,       65,        7,   0.  0.  0.  0,  13, Dialog 4G 379, 
9E:02:9F:A9:99:85, 2026-05-16 12:27:02, 2026-05-16 12:27:52,  1, 130, WPA2, CCMP, PSK, -80,       53,      137,   0.  0.  0.  0,   4, Boss, 
7C:11:CB:07:F3:03, 2026-05-16 12:27:02, 2026-05-16 12:27:52,  6, 130, WPA2, CCMP TKIP, PSK, -78,       83,        7,   0.  0.  0.  0,   9, Dialog 4G, 
98:A9:42:17:FE:C1, 2026-05-16 12:27:02, 2026-05-16 12:27:50,  7, 130, WPA2, CCMP, PSK, -77,       55,        1,   0.  0.  0.  0,  13, Dialog 4G 777, 
A6:8E:DC:82:EB:7B, 2026-05-16 12:27:02, 2026-05-16 12:27:52,  6, 130, WPA2, CCMP, PSK, -47,       90,       50,   0.  0.  0.  0,  22, Thavanathan’s iPhone, 
B8:27:C5:49:84:4C, 2026-05-16 12:27:04, 2026-05-16 12:27:52, 10, 270, WPA2, CCMP TKIP, PSK, -84,       50,        2,   0.  0.  0.  0,  13, Dialog 4G 44C, 
4A:A4:FD:C2:FE:C2, 2026-05-16 12:27:05, 2026-05-16 12:27:20, 11,  65, WPA2, CCMP, PSK, -89,        5,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC053, 
CA:0D:E2:E0:FA:7C, 2026-05-16 12:27:05, 2026-05-16 12:27:49,  6, 130, WPA2, CCMP, PSK, -88,        8,       33,   0.  0.  0.  0,   6, iPhone, 
C2:E0:7D:6D:7A:E0, 2026-05-16 12:27:09, 2026-05-16 12:27:09,  6, 130, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  10, RizkAhamed, 
BA:4D:43:17:49:3D, 2026-05-16 12:27:11, 2026-05-16 12:27:51,  3,  65, WPA2 WPA, CCMP TKIP, PSK, -85,       17,        0,   0.  0.  0.  0,  15, EZVIZ_BA8983061, 
D8:D8:66:51:E6:BE, 2026-05-16 12:27:16, 2026-05-16 12:27:16, 11, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,   7, PKWAWMK, 
4A:A4:FD:C8:79:C6, 2026-05-16 12:27:19, 2026-05-16 12:27:20, 11,  65, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC094, 
C2:8A:60:90:AC:50, 2026-05-16 12:27:20, 2026-05-16 12:27:20, 11,  65, WPA2, CCMP, PSK, -93,        1,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC035, 
FC:3F:FC:91:80:C0, 2026-05-16 12:27:20, 2026-05-16 12:27:20,  6, 130, WPA2, CCMP, PSK, -92,        1,        0,   0.  0.  0.  0,  13, Dialog 4G 192, 
D8:42:F7:B2:1D:B7, 2026-05-16 12:27:20, 2026-05-16 12:27:20,  7,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
98:A9:42:AB:6D:DB, 2026-05-16 12:27:21, 2026-05-16 12:27:35,  7, 130, WPA2, CCMP, PSK, -90,        6,        0,   0.  0.  0.  0,  13, Dialog 4G 547, 
98:A9:42:09:E6:0D, 2026-05-16 12:27:41, 2026-05-16 12:27:41,  6, 130, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,   4, SHKH, 
4E:A8:A8:1D:FA:AF, 2026-05-16 12:27:45, 2026-05-16 12:27:49,  1,  54, WPA3 WPA2, CCMP, SAE PSK, -84,        4,        0,   0.  0.  0.  0,   8, Redmi A5, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F0:77:C3:FF:15:45, 2026-05-16 12:27:02, 2026-05-16 12:27:46, -44,       10, 9E:02:9F:A9:99:85,Boss
D0:57:7E:A6:B7:F1, 2026-05-16 12:27:03, 2026-05-16 12:27:52, -60,      137, 9E:02:9F:A9:99:85,
C0:BF:BE:A3:7F:1E, 2026-05-16 12:27:05, 2026-05-16 12:27:48, -68,       11, B8:27:C5:49:84:4C,
D2:67:74:E3:DF:23, 2026-05-16 12:27:05, 2026-05-16 12:27:49, -74,       48, CA:0D:E2:E0:FA:7C,
38:BE:AB:98:13:DF, 2026-05-16 12:27:06, 2026-05-16 12:27:24, -89,        2, 98:A9:42:17:FE:C1,
38:54:F5:11:75:43, 2026-05-16 12:27:08, 2026-05-16 12:27:47, -68,        5, D8:42:F7:E2:21:7B,
24:EB:16:56:E1:CC, 2026-05-16 12:27:09, 2026-05-16 12:27:49, -59,       46, A6:8E:DC:82:EB:7B,
D2:24:01:F3:12:3B, 2026-05-16 12:27:12, 2026-05-16 12:27:12, -83,        1, (not associated) ,
8A:D3:F4:9A:A9:A3, 2026-05-16 12:27:12, 2026-05-16 12:27:12, -76,        3, (not associated) ,
9A:32:A5:B3:5A:DC, 2026-05-16 12:27:12, 2026-05-16 12:27:12, -87,        1, (not associated) ,
14:5A:FC:81:7E:1D, 2026-05-16 12:27:12, 2026-05-16 12:27:49, -41,       10, A6:8E:DC:82:EB:7B,
42:D2:D6:B5:90:C9, 2026-05-16 12:27:14, 2026-05-16 12:27:46, -84,        3, (not associated) ,
8A:BB:85:12:B3:5F, 2026-05-16 12:27:15, 2026-05-16 12:27:15, -85,        1, (not associated) ,
9E:61:BC:3F:E8:81, 2026-05-16 12:27:27, 2026-05-16 12:27:31, -91,        3, 7C:11:CB:07:F3:03,
4C:75:25:27:B9:D4, 2026-05-16 12:27:28, 2026-05-16 12:27:28, -92,        1, (not associated) ,Show what you have
AE:77:3A:74:B8:91, 2026-05-16 12:27:30, 2026-05-16 12:27:30, -79,        2, (not associated) ,
E6:09:CA:4B:8F:90, 2026-05-16 12:27:33, 2026-05-16 12:27:35, -64,        4, (not associated) ,
22:F9:90:37:46:C1, 2026-05-16 12:27:34, 2026-05-16 12:27:34, -73,        2, (not associated) ,
08:F9:7E:DD:E2:41, 2026-05-16 12:27:38, 2026-05-16 12:27:38, -88,        1, CA:0D:E2:E0:FA:7C,
BA:99:2E:23:37:67, 2026-05-16 12:27:39, 2026-05-16 12:27:39, -40,        2, (not associated) ,
26:5B:37:17:5A:56, 2026-05-16 12:27:39, 2026-05-16 12:27:39, -42,        2, (not associated) ,

