
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7C:11:CB:07:F3:03, 2026-05-16 12:36:40, 2026-05-16 12:38:01,  6, 130, WPA2, CCMP TKIP, PSK, -82,      610,       63,   0.  0.  0.  0,   9, Dialog 4G, 
A6:8E:DC:82:EB:7B, 2026-05-16 12:36:40, 2026-05-16 12:38:01,  6, 130, WPA2, CCMP, PSK, -58,      665,     8588,   0.  0.  0.  0,  22, Thavanathan’s iPhone, 
BA:3D:EB:6D:12:5C, 2026-05-16 12:36:40, 2026-05-16 12:38:01,  6, 180, OPN, ,   , -79,      490,     2492, 192.168.  0.229,   9, Redmi A1+, 
98:A9:42:17:FE:C1, 2026-05-16 12:36:40, 2026-05-16 12:38:01,  7, 130, WPA2, CCMP, PSK, -80,      243,        2,   0.  0.  0.  0,  13, Dialog 4G 777, 
98:A9:42:09:E6:0D, 2026-05-16 12:36:41, 2026-05-16 12:38:00,  6, 130, WPA2, CCMP, PSK, -88,      165,        0,   0.  0.  0.  0,   4, SHKH, 
CA:0D:E2:E0:FA:7C, 2026-05-16 12:36:41, 2026-05-16 12:38:01,  6, 130, WPA2, CCMP, PSK, -88,       77,     3452,   0.  0.  0.  0,   6, iPhone, 
60:A4:D0:DE:72:12, 2026-05-16 12:36:41, 2026-05-16 12:37:58,  6,  65, WPA2, CCMP, PSK, -91,       60,        0,   0.  0.  0.  0,   9, AndroidAP, 
00:25:00:FF:94:73, 2026-05-16 12:36:43, 2026-05-16 12:37:47, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C2:E0:7D:6D:7A:E0, 2026-05-16 12:36:47, 2026-05-16 12:37:34,  6, 130, WPA2, CCMP, PSK, -93,        0,        0,   0.  0.  0.  0,  10, RizkAhamed, 
5C:A0:01:AA:DC:FC, 2026-05-16 12:37:27, 2026-05-16 12:37:39, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B8:27:C5:49:84:4C, 2026-05-16 12:37:27, 2026-05-16 12:37:27,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
FC:3F:FC:91:80:C0, 2026-05-16 12:37:30, 2026-05-16 12:37:57,  6, 130, WPA2, CCMP, PSK, -91,        2,        0,   0.  0.  0.  0,  13, Dialog 4G 192, 
D8:42:F7:0E:E1:9C, 2026-05-16 12:37:47, 2026-05-16 12:37:50,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B2:1C:A6:33:5B:AD, 2026-05-16 12:37:49, 2026-05-16 12:38:01,  6, 180, WPA2, CCMP, PSK, -89,        7,        0,   0.  0.  0.  0,  15, Galaxy A24 2263, 
FC:3F:FC:51:05:69, 2026-05-16 12:37:52, 2026-05-16 12:37:58,  6, 130, WPA2, CCMP, PSK, -90,        3,        0,   0.  0.  0.  0,  13, Dialog 4G 385, 
2C:05:47:F1:F8:67, 2026-05-16 12:37:53, 2026-05-16 12:37:54,  6,  65, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  14, 70mai_d06_f867, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:5A:FC:81:7E:1D, 2026-05-16 12:36:40, 2026-05-16 12:38:01, -47,     7596, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
24:EB:16:56:E1:CC, 2026-05-16 12:36:40, 2026-05-16 12:38:00, -62,     1467, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
A6:BC:88:35:CC:FA, 2026-05-16 12:36:40, 2026-05-16 12:38:01, -72,     3425, BA:3D:EB:6D:12:5C,
9E:61:BC:3F:E8:81, 2026-05-16 12:36:41, 2026-05-16 12:38:01, -90,      113, 7C:11:CB:07:F3:03,
D2:67:74:E3:DF:23, 2026-05-16 12:36:41, 2026-05-16 12:38:00, -75,     3574, CA:0D:E2:E0:FA:7C,
08:F9:7E:DD:E2:41, 2026-05-16 12:36:42, 2026-05-16 12:38:01, -89,       93, CA:0D:E2:E0:FA:7C,
32:82:38:06:B5:02, 2026-05-16 12:36:43, 2026-05-16 12:37:47, -88,        6, 00:25:00:FF:94:73,
B0:BE:83:7E:17:03, 2026-05-16 12:36:43, 2026-05-16 12:37:03, -90,        2, 60:A4:D0:DE:72:12,
6A:C6:04:62:44:EF, 2026-05-16 12:36:48, 2026-05-16 12:36:48, -76,        1, (not associated) ,
82:C7:FB:F8:7D:2D, 2026-05-16 12:36:51, 2026-05-16 12:36:51, -82,        2, (not associated) ,
F0:77:C3:FF:15:45, 2026-05-16 12:37:00, 2026-05-16 12:37:00, -51,        1, (not associated) ,Boss
38:BE:AB:98:13:DF, 2026-05-16 12:37:03, 2026-05-16 12:37:03, -87,        1, 98:A9:42:17:FE:C1,
3E:9D:D8:2C:E3:CB, 2026-05-16 12:37:19, 2026-05-16 12:37:19, -80,        1, (not associated) ,
06:13:16:48:FF:FC, 2026-05-16 12:37:20, 2026-05-16 12:37:20, -75,        4, (not associated) ,
C0:2E:DF:AA:0B:2B, 2026-05-16 12:37:21, 2026-05-16 12:37:21, -56,        6, (not associated) ,
50:3D:D1:C6:ED:BB, 2026-05-16 12:37:27, 2026-05-16 12:37:39, -91,        3, 5C:A0:01:AA:DC:FC,
46:A9:38:E3:BA:05, 2026-05-16 12:37:37, 2026-05-16 12:37:37, -62,        2, (not associated) ,
E0:E2:58:BF:53:DD, 2026-05-16 12:37:47, 2026-05-16 12:37:50, -93,       12, D8:42:F7:0E:E1:9C,
FE:CB:91:72:CB:D0, 2026-05-16 12:37:50, 2026-05-16 12:37:50, -91,        1, (not associated) ,
BA:3D:EB:6D:12:5C, 2026-05-16 12:37:53, 2026-05-16 12:37:53, -78,        1, BA:3D:EB:6D:12:5C,

