
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A6:8E:DC:82:EB:7B, 2026-05-16 12:38:03, 2026-05-16 12:43:30,  6, 130, WPA2, CCMP, PSK, -53,     2794,    86292,   0.  0.  0.  0,  22, Thavanathan’s iPhone, 
BA:3D:EB:6D:12:5C, 2026-05-16 12:38:03, 2026-05-16 12:43:30,  6, 180, OPN, ,   , -86,     1988,    10588, 192.168.  0.229,   9, Redmi A1+, 
CA:0D:E2:E0:FA:7C, 2026-05-16 12:38:03, 2026-05-16 12:43:29,  6, 130, WPA2, CCMP, PSK, -85,      311,     9023,   0.  0.  0.  0,   6, iPhone, 
7C:11:CB:07:F3:03, 2026-05-16 12:38:03, 2026-05-16 12:43:30,  6, 130, WPA2, CCMP TKIP, PSK, -76,     2401,      233,   0.  0.  0.  0,   9, Dialog 4G, 
98:A9:42:17:FE:C1, 2026-05-16 12:38:03, 2026-05-16 12:43:29,  7, 130, WPA2, CCMP, PSK, -81,      626,        2,   0.  0.  0.  0,  13, Dialog 4G 777, 
C2:E0:7D:6D:7A:E0, 2026-05-16 12:38:03, 2026-05-16 12:43:29,  6, 130, WPA2, CCMP, PSK, -92,       17,        0,   0.  0.  0.  0,  10, RizkAhamed, 
00:25:00:FF:94:73, 2026-05-16 12:38:03, 2026-05-16 12:43:25, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
60:A4:D0:DE:72:12, 2026-05-16 12:38:03, 2026-05-16 12:43:29,  6,  65, WPA2, CCMP, PSK, -89,      477,        4,   0.  0.  0.  0,   9, AndroidAP, 
98:A9:42:09:E6:0D, 2026-05-16 12:38:04, 2026-05-16 12:43:28,  6, 130, WPA2, CCMP, PSK, -88,      574,        5,   0.  0.  0.  0,   4, SHKH, 
B2:1C:A6:33:5B:AD, 2026-05-16 12:38:05, 2026-05-16 12:38:09,  6, 180, WPA2, CCMP, PSK, -84,        7,        0,   0.  0.  0.  0,  15, Galaxy A24 2263, 
B8:27:C5:49:84:4C, 2026-05-16 12:38:14, 2026-05-16 12:43:27,  6,  -1, WPA, ,   ,  -1,        0,        9,   0.  0.  0.  0,   0, , 
FC:3F:FC:51:05:69, 2026-05-16 12:38:19, 2026-05-16 12:43:08,  6, 130, WPA2, CCMP, PSK, -92,       40,        0,   0.  0.  0.  0,  13, Dialog 4G 385, 
FC:3F:FC:91:80:C0, 2026-05-16 12:39:01, 2026-05-16 12:42:51,  6, 130, WPA2, CCMP, PSK, -91,        4,        0,   0.  0.  0.  0,  13, Dialog 4G 192, 
5C:A0:01:AA:DC:FC, 2026-05-16 12:39:07, 2026-05-16 12:41:12, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:79:2D:C1:91:EC, 2026-05-16 12:39:23, 2026-05-16 12:39:25,  6,  65, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  12, ND330FC-91ec, 
D8:42:F7:0E:E1:9C, 2026-05-16 12:39:25, 2026-05-16 12:40:42,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
98:A9:42:BE:E6:8B, 2026-05-16 12:39:29, 2026-05-16 12:39:30,  6, 130, WPA2, CCMP, PSK, -91,        3,        0,   0.  0.  0.  0,  13, Dialog 4G 675, 
24:EB:16:56:E1:CC, 2026-05-16 12:39:30, 2026-05-16 12:41:57,  6,  -1, OPN, ,   ,  -1,        0,       26,   0.  0.  0.  0,   0, , 
98:A9:42:17:BA:0E, 2026-05-16 12:41:01, 2026-05-16 12:42:46,  6, 130, WPA2, CCMP, PSK, -93,        2,        1,   0.  0.  0.  0,  13, Dialog 4G 574, 
FC:98:16:2C:ED:AE, 2026-05-16 12:41:36, 2026-05-16 12:41:36,  6,  65, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  25, Smartphone_connect_2cedae, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:5A:FC:81:7E:1D, 2026-05-16 12:38:03, 2026-05-16 12:43:30, -48,    65629, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
A6:BC:88:35:CC:FA, 2026-05-16 12:38:03, 2026-05-16 12:43:30, -74,    14595, BA:3D:EB:6D:12:5C,
08:F9:7E:DD:E2:41, 2026-05-16 12:38:03, 2026-05-16 12:43:29, -91,      431, CA:0D:E2:E0:FA:7C,iPhone
9E:61:BC:3F:E8:81, 2026-05-16 12:38:03, 2026-05-16 12:43:29, -92,      450, 7C:11:CB:07:F3:03,
24:EB:16:56:E1:CC, 2026-05-16 12:38:03, 2026-05-16 12:43:30, -67,    21931, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
D2:67:74:E3:DF:23, 2026-05-16 12:38:03, 2026-05-16 12:43:29, -71,     9538, CA:0D:E2:E0:FA:7C,
32:82:38:06:B5:02, 2026-05-16 12:38:03, 2026-05-16 12:43:25, -89,       72, 00:25:00:FF:94:73,
0A:09:9C:25:9B:68, 2026-05-16 12:38:05, 2026-05-16 12:38:05, -77,        2, (not associated) ,
18:5E:0F:7A:0A:67, 2026-05-16 12:38:06, 2026-05-16 12:41:37,  -1,        5, 98:A9:42:09:E6:0D,
76:14:E9:97:89:C3, 2026-05-16 12:38:11, 2026-05-16 12:38:11, -91,        1, (not associated) ,
C0:BF:BE:A3:7F:1E, 2026-05-16 12:38:14, 2026-05-16 12:43:27, -79,       19, B8:27:C5:49:84:4C,wenu@s
C2:7E:6F:BA:64:7D, 2026-05-16 12:38:14, 2026-05-16 12:38:15, -70,        5, (not associated) ,
38:BE:AB:98:13:DF, 2026-05-16 12:38:15, 2026-05-16 12:38:15,  -1,        1, 98:A9:42:17:FE:C1,
BA:3D:EB:6D:12:5C, 2026-05-16 12:38:20, 2026-05-16 12:38:20, -76,        1, BA:3D:EB:6D:12:5C,
E6:C7:BF:F4:9F:4A, 2026-05-16 12:38:23, 2026-05-16 12:43:03,  -1,        6, 60:A4:D0:DE:72:12,
9A:19:14:E0:3E:86, 2026-05-16 12:38:30, 2026-05-16 12:38:30, -66,        1, (not associated) ,
CC:5E:F8:13:C3:5D, 2026-05-16 12:38:36, 2026-05-16 12:38:36, -57,       17, (not associated) ,
1A:3A:C7:DB:3A:6A, 2026-05-16 12:38:38, 2026-05-16 12:38:38, -64,        1, (not associated) ,
D6:5A:8D:18:EA:76, 2026-05-16 12:38:46, 2026-05-16 12:38:46, -86,        1, (not associated) ,
EA:23:EC:CE:2A:21, 2026-05-16 12:38:47, 2026-05-16 12:38:47, -86,        3, (not associated) ,
02:00:00:00:00:00, 2026-05-16 12:38:48, 2026-05-16 12:38:48, -77,        2, (not associated) ,
D0:57:7E:A6:B7:F1, 2026-05-16 12:38:49, 2026-05-16 12:38:49, -55,        1, (not associated) ,Boss
42:50:B0:75:4A:FE, 2026-05-16 12:38:51, 2026-05-16 12:38:51, -62,        1, (not associated) ,
F0:77:C3:FF:15:45, 2026-05-16 12:38:59, 2026-05-16 12:43:28, -49,       16, (not associated) ,Boss
E6:65:F6:F1:66:67, 2026-05-16 12:39:01, 2026-05-16 12:39:01, -68,        4, (not associated) ,
50:3D:D1:C6:ED:BB, 2026-05-16 12:39:07, 2026-05-16 12:41:12, -99,        2, 5C:A0:01:AA:DC:FC,
B0:BE:83:7E:17:03, 2026-05-16 12:39:11, 2026-05-16 12:43:04, -90,       34, 60:A4:D0:DE:72:12,
DE:11:FA:FA:B3:8D, 2026-05-16 12:39:15, 2026-05-16 12:39:15, -69,        2, (not associated) ,
96:22:8A:C2:3E:96, 2026-05-16 12:39:24, 2026-05-16 12:39:24, -66,        2, (not associated) ,
60:F5:49:06:D4:62, 2026-05-16 12:39:25, 2026-05-16 12:39:25, -89,        1, D8:42:F7:0E:E1:9C,
5A:E8:F8:EC:5D:7A, 2026-05-16 12:39:27, 2026-05-16 12:39:27, -91,        1, (not associated) ,
