
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A6:8E:DC:82:EB:7B, 2026-05-16 12:43:36, 2026-05-16 12:45:23,  6, 130, WPA2, CCMP, PSK, -50,      180,     1257,   0.  0.  0.  0,  22, Thavanathan’s iPhone, 
BA:3D:EB:6D:12:5C, 2026-05-16 12:43:36, 2026-05-16 12:45:23,  6, 180, OPN, ,   , -76,       97,      141, 192.168.  0.229,   9, Redmi A1+, 
7C:11:CB:07:F3:03, 2026-05-16 12:43:36, 2026-05-16 12:45:23,  6, 130, WPA2, CCMP TKIP, PSK, -81,      162,       31,   0.  0.  0.  0,   9, Dialog 4G, 
9E:02:9F:A9:99:85, 2026-05-16 12:43:36, 2026-05-16 12:45:22,  1, 130, WPA2, CCMP, PSK, -66,      106,       22,   0.  0.  0.  0,   4, Boss, 
98:A9:42:17:FE:C1, 2026-05-16 12:43:36, 2026-05-16 12:45:21,  7, 130, WPA2, CCMP, PSK, -78,       85,        4,   0.  0.  0.  0,  13, Dialog 4G 777, 
BA:4D:43:17:49:3D, 2026-05-16 12:43:37, 2026-05-16 12:45:18,  3,  65, WPA2 WPA, CCMP TKIP, PSK, -87,       40,        0,   0.  0.  0.  0,  15, EZVIZ_BA8983061, 
D8:42:F7:E2:21:7B, 2026-05-16 12:43:38, 2026-05-16 12:45:24, 10, 270, WPA2, CCMP, PSK, -80,      138,       10,   0.  0.  0.  0,  13, Dialog 4G 379, 
B8:27:C5:49:84:4C, 2026-05-16 12:43:38, 2026-05-16 12:45:23, 10, 270, WPA2, CCMP TKIP, PSK, -79,      141,        3,   0.  0.  0.  0,  13, Dialog 4G 44C, 
4A:A4:FD:C2:FE:C2, 2026-05-16 12:43:39, 2026-05-16 12:45:06, 11,  65, WPA2, CCMP, PSK, -86,       15,        1,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC053, 
4A:A4:FD:C8:79:C6, 2026-05-16 12:43:39, 2026-05-16 12:45:13, 11,  65, WPA2, CCMP, PSK, -92,       12,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC094, 
60:A4:D0:DE:72:12, 2026-05-16 12:43:39, 2026-05-16 12:45:13,  6,  65, WPA2, CCMP, PSK, -90,       11,        0,   0.  0.  0.  0,   9, AndroidAP, 
CA:0D:E2:E0:FA:7C, 2026-05-16 12:43:39, 2026-05-16 12:45:20,  6, 130, WPA2, CCMP, PSK, -89,        8,       49,   0.  0.  0.  0,   6, iPhone, 
98:A9:42:AB:6D:DB, 2026-05-16 12:43:40, 2026-05-16 12:45:17,  7, 130, WPA2, CCMP, PSK, -89,        5,        0,   0.  0.  0.  0,  13, Dialog 4G 547, 
98:A9:42:09:E6:0D, 2026-05-16 12:43:46, 2026-05-16 12:45:17,  6, 130, WPA2, CCMP, PSK, -90,       14,        0,   0.  0.  0.  0,   4, SHKH, 
D8:42:F7:B2:1D:B7, 2026-05-16 12:43:47, 2026-05-16 12:43:47,  7,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
C2:8A:60:90:AC:50, 2026-05-16 12:43:57, 2026-05-16 12:44:44, 11,  65, WPA2, CCMP, PSK, -88,        5,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC035, 
C2:E0:7D:6D:7A:E0, 2026-05-16 12:44:12, 2026-05-16 12:45:02,  6, 130, WPA2, CCMP, PSK, -90,        3,        0,   0.  0.  0.  0,  10, RizkAhamed, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
24:EB:16:56:E1:CC, 2026-05-16 12:43:36, 2026-05-16 12:45:17, -45,      145, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
A6:BC:88:35:CC:FA, 2026-05-16 12:43:36, 2026-05-16 12:45:17, -73,      272, BA:3D:EB:6D:12:5C,
14:5A:FC:81:7E:1D, 2026-05-16 12:43:36, 2026-05-16 12:45:20, -46,     1175, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
98:FB:27:CE:E9:3F, 2026-05-16 12:43:37, 2026-05-16 12:43:37, -83,        1, (not associated) ,
08:F9:7E:DD:E2:41, 2026-05-16 12:43:39, 2026-05-16 12:45:13, -89,        7, CA:0D:E2:E0:FA:7C,
38:54:F5:11:75:43, 2026-05-16 12:43:42, 2026-05-16 12:45:06, -65,       10, D8:42:F7:E2:21:7B,
C0:2E:DF:AA:0B:2B, 2026-05-16 12:43:42, 2026-05-16 12:43:42, -53,        1, D8:42:F7:E2:21:7B,
D2:67:74:E3:DF:23, 2026-05-16 12:43:43, 2026-05-16 12:45:20, -76,       74, CA:0D:E2:E0:FA:7C,
38:BE:AB:98:13:DF, 2026-05-16 12:43:43, 2026-05-16 12:44:59,  -1,        3, 98:A9:42:17:FE:C1,
88:28:7D:30:98:3A, 2026-05-16 12:43:43, 2026-05-16 12:43:43,  -1,        1, 98:A9:42:17:FE:C1,
9E:61:BC:3F:E8:81, 2026-05-16 12:43:46, 2026-05-16 12:45:20, -94,        4, 7C:11:CB:07:F3:03,
02:00:00:00:00:00, 2026-05-16 12:43:48, 2026-05-16 12:43:48, -76,        3, (not associated) ,
D0:57:7E:A6:B7:F1, 2026-05-16 12:43:54, 2026-05-16 12:45:21, -62,      107, 9E:02:9F:A9:99:85,
F0:77:C3:FF:15:45, 2026-05-16 12:44:00, 2026-05-16 12:45:10, -49,       16, 9E:02:9F:A9:99:85,Boss
46:0F:56:E0:5D:04, 2026-05-16 12:44:11, 2026-05-16 12:44:58, -84,        4, B8:27:C5:49:84:4C,
DA:F5:2C:D3:B0:5A, 2026-05-16 12:44:15, 2026-05-16 12:44:15, -89,        1, (not associated) ,
C0:BF:BE:A3:7F:1E, 2026-05-16 12:44:19, 2026-05-16 12:44:37, -82,        4, B8:27:C5:49:84:4C,
62:48:8B:9E:9D:CE, 2026-05-16 12:44:33, 2026-05-16 12:44:33, -70,        1, (not associated) ,
4C:75:25:27:B9:D4, 2026-05-16 12:44:37, 2026-05-16 12:45:17, -92,        2, (not associated) ,Show what you have
32:68:D5:2D:9E:D5, 2026-05-16 12:44:41, 2026-05-16 12:44:41, -81,        1, (not associated) ,
C0:8A:60:90:AC:50, 2026-05-16 12:44:44, 2026-05-16 12:44:44, -95,        1, (not associated) ,
1E:A4:AC:19:7C:A9, 2026-05-16 12:44:47, 2026-05-16 12:44:49, -67,        4, (not associated) ,
82:9F:C5:F3:AA:65, 2026-05-16 12:44:58, 2026-05-16 12:44:58, -89,        2, (not associated) ,
C2:23:A5:55:43:90, 2026-05-16 12:45:04, 2026-05-16 12:45:04, -81,        1, (not associated) ,
0E:29:A2:21:FD:5F, 2026-05-16 12:45:05, 2026-05-16 12:45:07, -67,        6, (not associated) ,

