
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A6:8E:DC:82:EB:7B, 2026-05-16 12:45:30, 2026-05-16 12:54:47,  6, 130, WPA2, CCMP, PSK, -53,     4315,    23811,   0.  0.  0.  0,  22, Thavanathan’s iPhone, 
BA:3D:EB:6D:12:5C, 2026-05-16 12:45:30, 2026-05-16 12:54:47,  6, 180, OPN, ,   , -78,     3354,    11730, 192.168.  0.128,   9, Redmi A1+, 
7C:11:CB:07:F3:03, 2026-05-16 12:45:30, 2026-05-16 12:54:48,  6, 130, WPA2, CCMP TKIP, PSK, -76,     3659,      442,   0.  0.  0.  0,   9, Dialog 4G, 
60:A4:D0:DE:72:12, 2026-05-16 12:45:30, 2026-05-16 12:54:42,  6,  65, WPA2, CCMP, PSK, -90,      247,        0,   0.  0.  0.  0,   9, AndroidAP, 
98:A9:42:17:FE:C1, 2026-05-16 12:45:30, 2026-05-16 12:54:47,  7, 130, WPA2, CCMP, PSK, -82,      465,        7,   0.  0.  0.  0,  13, Dialog 4G 777, 
CA:0D:E2:E0:FA:7C, 2026-05-16 12:45:30, 2026-05-16 12:54:47,  6, 130, WPA2, CCMP, PSK, -85,      645,      430,   0.  0.  0.  0,   6, iPhone, 
C2:E0:7D:6D:7A:E0, 2026-05-16 12:45:31, 2026-05-16 12:54:42,  6, 130, WPA2, CCMP, PSK, -91,       36,        0,   0.  0.  0.  0,  10, RizkAhamed, 
FC:3F:FC:51:05:69, 2026-05-16 12:45:31, 2026-05-16 12:54:46,  6, 130, WPA2, CCMP, PSK, -92,       29,        0,   0.  0.  0.  0,  13, Dialog 4G 385, 
98:A9:42:09:E6:0D, 2026-05-16 12:45:32, 2026-05-16 12:54:47,  6, 130, WPA2, CCMP, PSK, -90,      568,        0,   0.  0.  0.  0,   4, SHKH, 
D8:42:F7:0E:E1:9C, 2026-05-16 12:45:39, 2026-05-16 12:54:35,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2C:05:47:DA:EA:BF, 2026-05-16 12:45:41, 2026-05-16 12:45:42,  6,  65, WPA2, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,  14, 70mai_d06_eabf, 
00:25:00:FF:94:73, 2026-05-16 12:45:45, 2026-05-16 12:53:13, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:3F:FC:91:80:C0, 2026-05-16 12:45:53, 2026-05-16 12:54:39,  6, 130, WPA2, CCMP, PSK, -93,       10,        0,   0.  0.  0.  0,  13, Dialog 4G 192, 
5C:A0:00:D2:E3:A7, 2026-05-16 12:46:02, 2026-05-16 12:46:02,  6,  65, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  15, In_Vehicle_Wifi, 
B8:27:C5:49:84:4C, 2026-05-16 12:46:11, 2026-05-16 12:54:00,  6,  -1, WPA, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
5C:A0:01:AA:DC:FC, 2026-05-16 12:49:10, 2026-05-16 12:54:16, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
32:A7:F8:58:28:A0, 2026-05-16 12:49:44, 2026-05-16 12:52:58,  6, 180, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,  13, redmi note 12, 
22:7C:A4:7D:D9:64, 2026-05-16 12:50:49, 2026-05-16 12:54:48,  6,  65, WPA2 OPN, CCMP, PSK, -64,     1877,        6,   0.  0.  0.  0,  14, Galaxy M0298c8, 
F0:AA:BE:91:4E:E6, 2026-05-16 12:50:56, 2026-05-16 12:50:59,  6,  65, WPA2 WPA, CCMP TKIP, PSK, -82,        1,        0,   0.  0.  0.  0,  14, Vezel-Dash-Cam, 
24:EB:16:56:E1:CC, 2026-05-16 12:52:25, 2026-05-16 12:54:04,  6,  -1, OPN, ,   ,  -1,        0,      142,   0.  0.  0.  0,   0, , 
0C:8F:FF:28:14:7C, 2026-05-16 12:53:17, 2026-05-16 12:54:47,  6, 270, WPA2 WPA, CCMP TKIP, PSK, -91,        5,        0,   0.  0.  0.  0,  11, SLT-4G-EAFC, 
98:A9:42:AB:6D:DB, 2026-05-16 12:54:29, 2026-05-16 12:54:29,  6,  -1, WPA, ,   , -88,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:5A:FC:81:7E:1D, 2026-05-16 12:45:30, 2026-05-16 12:54:46, -39,    13595, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
A6:BC:88:35:CC:FA, 2026-05-16 12:45:30, 2026-05-16 12:54:41, -71,    15446, BA:3D:EB:6D:12:5C,Redmi A1+
9E:61:BC:3F:E8:81, 2026-05-16 12:45:30, 2026-05-16 12:54:47, -88,      606, 7C:11:CB:07:F3:03,
D2:67:74:E3:DF:23, 2026-05-16 12:45:30, 2026-05-16 12:49:07, -84,      648, CA:0D:E2:E0:FA:7C,
24:EB:16:56:E1:CC, 2026-05-16 12:45:31, 2026-05-16 12:54:47, -47,    49443, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
08:F9:7E:DD:E2:41, 2026-05-16 12:45:31, 2026-05-16 12:54:47, -91,      615, CA:0D:E2:E0:FA:7C,
E6:C7:BF:F4:9F:4A, 2026-05-16 12:45:32, 2026-05-16 12:54:42,  -1,        8, 60:A4:D0:DE:72:12,
E0:E2:58:BF:53:DD, 2026-05-16 12:45:39, 2026-05-16 12:52:14, -92,       17, D8:42:F7:0E:E1:9C,
B0:BE:83:7E:17:03, 2026-05-16 12:45:40, 2026-05-16 12:54:17, -91,       19, 60:A4:D0:DE:72:12,
32:82:38:06:B5:02, 2026-05-16 12:45:45, 2026-05-16 12:45:45, -92,        1, 00:25:00:FF:94:73,
BA:3D:EB:6D:12:5C, 2026-05-16 12:45:56, 2026-05-16 12:47:39, -79,        3, BA:3D:EB:6D:12:5C,
0E:4F:B6:A1:11:65, 2026-05-16 12:46:07, 2026-05-16 12:46:07, -90,        1, (not associated) ,
C0:BF:BE:A3:7F:1E, 2026-05-16 12:46:11, 2026-05-16 12:54:00, -80,        7, B8:27:C5:49:84:4C,wenu@s
C0:2E:DF:AA:0B:2B, 2026-05-16 12:46:21, 2026-05-16 12:52:21, -61,       15, (not associated) ,
F0:77:C3:FF:15:45, 2026-05-16 12:46:22, 2026-05-16 12:49:25, -50,        7, (not associated) ,Boss
02:DD:31:F5:EC:87, 2026-05-16 12:46:24, 2026-05-16 12:46:24, -81,        1, (not associated) ,
86:CB:09:A7:70:F8, 2026-05-16 12:46:33, 2026-05-16 12:46:33,  11,        1, (not associated) ,
76:1A:DC:5F:2A:E0, 2026-05-16 12:46:47, 2026-05-16 12:46:47, -88,        1, (not associated) ,
B6:C7:71:CA:70:91, 2026-05-16 12:46:54, 2026-05-16 12:46:54, -75,        4, (not associated) ,
AC:DF:A1:BC:F6:93, 2026-05-16 12:46:56, 2026-05-16 12:54:35, -92,      357, D8:42:F7:0E:E1:9C,
7E:8F:F2:65:E3:8B, 2026-05-16 12:47:13, 2026-05-16 12:47:13, -87,        1, (not associated) ,
C2:F8:AA:7B:59:1E, 2026-05-16 12:47:13, 2026-05-16 12:47:14, -63,        6, (not associated) ,
5A:5A:25:9F:D1:38, 2026-05-16 12:47:20, 2026-05-16 12:47:20, -86,        1, (not associated) ,
CE:57:E8:55:5A:C4, 2026-05-16 12:47:26, 2026-05-16 12:47:26, -85,        1, (not associated) ,
22:80:92:14:66:EC, 2026-05-16 12:47:32, 2026-05-16 12:47:54, -92,        2, (not associated) ,
D0:39:57:D0:BA:11, 2026-05-16 12:47:38, 2026-05-16 12:47:44, -50,       12, A6:8E:DC:82:EB:7B,
D0:57:7E:A6:B7:F1, 2026-05-16 12:47:47, 2026-05-16 12:52:37, -73,        4, (not associated) ,Boss
66:32:CA:DE:E3:2E, 2026-05-16 12:48:02, 2026-05-16 12:48:03, -61,        3, (not associated) ,
3A:07:44:1C:3E:B0, 2026-05-16 12:48:08, 2026-05-16 12:48:09, -61,        3, (not associated) ,
CA:6D:49:15:82:7C, 2026-05-16 12:48:17, 2026-05-16 12:48:18, -62,        2, (not associated) ,
02:00:00:00:00:00, 2026-05-16 12:48:48, 2026-05-16 12:53:48, -80,        3, (not associated) ,
CC:5E:F8:13:C3:5D, 2026-05-16 12:48:52, 2026-05-16 12:54:00, -49,       28, (not associated) ,
26:FB:64:AA:62:AC, 2026-05-16 12:49:01, 2026-05-16 12:49:01, -66,        4, (not associated) ,
72:B0:92:BF:99:15, 2026-05-16 12:49:06, 2026-05-16 12:49:06, -85,        1, (not associated) ,
B2:83:89:03:DF:4D, 2026-05-16 12:49:09, 2026-05-16 12:49:09, -90,        1, (not associated) ,
