Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Thavanathan’s iPhone;A6:8E:DC:82:EB:7B;;6;No;WPA2,AES-CCM;No;130.0;0;4315;0;23811;0;0;23811;;;Sat May 16 12:45:30 2026;Sat May 16 12:54:47 2026;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Redmi A1+;BA:3D:EB:6D:12:5C;;6;No;OPN,None;No;180.0;0;3354;0;11730;0;0;11730;;;Sat May 16 12:45:30 2026;Sat May 16 12:54:47 2026;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.0.128;
3;infrastructure;Dialog 4G;7C:11:CB:07:F3:03;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;3659;0;442;0;0;442;;;Sat May 16 12:45:30 2026;Sat May 16 12:54:48 2026;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;AndroidAP;60:A4:D0:DE:72:12;;6;No;WPA2,AES-CCM;No;65.0;0;247;0;0;0;0;0;;;Sat May 16 12:45:30 2026;Sat May 16 12:54:42 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Dialog 4G 777;98:A9:42:17:FE:C1;;7;No;WPA2,AES-CCM;No;130.0;0;465;0;7;0;0;7;;;Sat May 16 12:45:30 2026;Sat May 16 12:54:47 2026;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;iPhone;CA:0D:E2:E0:FA:7C;;6;No;WPA2,AES-CCM;No;130.0;0;645;0;430;0;0;430;;;Sat May 16 12:45:30 2026;Sat May 16 12:54:47 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;RizkAhamed;C2:E0:7D:6D:7A:E0;;6;No;WPA2,AES-CCM;No;130.0;0;36;0;0;0;0;0;;;Sat May 16 12:45:31 2026;Sat May 16 12:54:42 2026;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Dialog 4G 385;FC:3F:FC:51:05:69;;6;No;WPA2,AES-CCM;No;130.0;0;29;0;0;0;0;0;;;Sat May 16 12:45:31 2026;Sat May 16 12:54:46 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;SHKH;98:A9:42:09:E6:0D;;6;No;WPA2,AES-CCM;No;130.0;0;568;0;0;0;0;0;;;Sat May 16 12:45:32 2026;Sat May 16 12:54:47 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;D8:42:F7:0E:E1:9C;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:45:39 2026;Sat May 16 12:54:35 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;70mai_d06_eabf;2C:05:47:DA:EA:BF;;6;No;WPA2,AES-CCM;No;65.0;0;3;0;0;0;0;0;;;Sat May 16 12:45:41 2026;Sat May 16 12:45:42 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:45:45 2026;Sat May 16 12:53:13 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Dialog 4G 192;FC:3F:FC:91:80:C0;;6;No;WPA2,AES-CCM;No;130.0;0;10;0;0;0;0;0;;;Sat May 16 12:45:53 2026;Sat May 16 12:54:39 2026;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;B8:27:C5:49:84:4C;;6;No;WPA,None;No;-1.0;0;0;0;4;0;0;4;;;Sat May 16 12:46:11 2026;Sat May 16 12:54:00 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;5C:A0:01:AA:DC:FC;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sat May 16 12:49:10 2026;Sat May 16 12:54:16 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;redmi note 12;32:A7:F8:58:28:A0;;6;No;WPA2,AES-CCM;No;180.0;0;2;0;0;0;0;0;;;Sat May 16 12:49:44 2026;Sat May 16 12:52:58 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
