Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Dialog 4G 379;D8:42:F7:E2:21:7B;;10;No;WPA2,AES-CCM;No;270.0;0;65;0;7;0;0;7;;;Sat May 16 12:27:02 2026;Sat May 16 12:27:52 2026;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Boss;9E:02:9F:A9:99:85;;1;No;WPA2,AES-CCM;No;130.0;0;53;0;137;0;0;137;;;Sat May 16 12:27:02 2026;Sat May 16 12:27:52 2026;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Dialog 4G;7C:11:CB:07:F3:03;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;83;0;7;0;0;7;;;Sat May 16 12:27:02 2026;Sat May 16 12:27:52 2026;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Dialog 4G 777;98:A9:42:17:FE:C1;;7;No;WPA2,AES-CCM;No;130.0;0;55;0;1;0;0;1;;;Sat May 16 12:27:02 2026;Sat May 16 12:27:50 2026;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Thavanathan’s iPhone;A6:8E:DC:82:EB:7B;;6;No;WPA2,AES-CCM;No;130.0;0;90;0;50;0;0;50;;;Sat May 16 12:27:02 2026;Sat May 16 12:27:52 2026;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Dialog 4G 44C;B8:27:C5:49:84:4C;;10;No;WPA2,AES-CCM,TKIP;No;270.0;0;50;0;2;0;0;2;;;Sat May 16 12:27:04 2026;Sat May 16 12:27:52 2026;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;WIFIBRG001300281d01IPC053;4A:A4:FD:C2:FE:C2;;11;No;WPA2,AES-CCM;No;65.0;0;5;0;0;0;0;0;;;Sat May 16 12:27:05 2026;Sat May 16 12:27:20 2026;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;iPhone;CA:0D:E2:E0:FA:7C;;6;No;WPA2,AES-CCM;No;130.0;0;8;0;33;0;0;33;;;Sat May 16 12:27:05 2026;Sat May 16 12:27:49 2026;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;EZVIZ_BA8983061;BA:4D:43:17:49:3D;;3;No;WPA2,WPA,AES-CCM,TKIP;No;65.0;0;17;0;0;0;0;0;;;Sat May 16 12:27:11 2026;Sat May 16 12:27:51 2026;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;WIFIBRG001300281d01IPC094;4A:A4:FD:C8:79:C6;;11;No;WPA2,AES-CCM;No;65.0;0;2;0;0;0;0;0;;;Sat May 16 12:27:19 2026;Sat May 16 12:27:20 2026;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Dialog 4G 547;98:A9:42:AB:6D:DB;;7;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Sat May 16 12:27:21 2026;Sat May 16 12:27:35 2026;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Redmi A5;4E:A8:A8:1D:FA:AF;;1;No;WPA3,AES-CCM,SAE;No;54.0;0;4;0;0;0;0;0;;;Sat May 16 12:27:45 2026;Sat May 16 12:27:49 2026;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
