
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7C:11:CB:07:F3:03, 2026-05-16 12:31:47, 2026-05-16 12:36:25,  6, 130, WPA2, CCMP TKIP, PSK, -76,      434,       39,   0.  0.  0.  0,   9, Dialog 4G, 
9E:02:9F:A9:99:85, 2026-05-16 12:31:47, 2026-05-16 12:36:26,  1, 130, WPA2, CCMP, PSK, -66,      337,       41,   0.  0.  0.  0,   4, Boss, 
98:A9:42:17:FE:C1, 2026-05-16 12:31:47, 2026-05-16 12:36:26,  7, 130, WPA2, CCMP, PSK, -80,      267,       16,   0.  0.  0.  0,  13, Dialog 4G 777, 
A6:8E:DC:82:EB:7B, 2026-05-16 12:31:47, 2026-05-16 12:36:24,  6, 130, WPA2, CCMP, PSK, -51,      424,      618,   0.  0.  0.  0,  22, Thavanathan’s iPhone, 
BA:3D:EB:6D:12:5C, 2026-05-16 12:31:47, 2026-05-16 12:36:25,  6, 180, OPN, ,   , -71,      399,      184, 192.168.  0.229,   9, Redmi A1+, 
BA:4D:43:17:49:3D, 2026-05-16 12:31:48, 2026-05-16 12:36:26,  3,  65, WPA2 WPA, CCMP TKIP, PSK, -85,      119,        0,   0.  0.  0.  0,  15, EZVIZ_BA8983061, 
D8:42:F7:E2:21:7B, 2026-05-16 12:31:49, 2026-05-16 12:36:27, 10, 270, WPA2, CCMP, PSK, -79,      431,       32,   0.  0.  0.  0,  13, Dialog 4G 379, 
B8:27:C5:49:84:4C, 2026-05-16 12:31:49, 2026-05-16 12:36:27, 10, 270, WPA2, CCMP TKIP, PSK, -79,      327,       13,   0.  0.  0.  0,  13, Dialog 4G 44C, 
CA:0D:E2:E0:FA:7C, 2026-05-16 12:31:50, 2026-05-16 12:36:24,  6, 130, WPA2, CCMP, PSK, -88,       36,     1162,   0.  0.  0.  0,   6, iPhone, 
4A:A4:FD:C8:79:C6, 2026-05-16 12:31:53, 2026-05-16 12:36:24, 11,  65, WPA2, CCMP, PSK, -90,       37,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC094, 
4A:A4:FD:C2:FE:C2, 2026-05-16 12:31:54, 2026-05-16 12:35:33, 11,  65, WPA2, CCMP, PSK, -88,        5,        1,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC053, 
D8:42:F7:B2:1D:B7, 2026-05-16 12:31:55, 2026-05-16 12:34:55,  7,  -1, WPA, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
98:A9:42:09:E6:0D, 2026-05-16 12:31:57, 2026-05-16 12:36:13,  6, 130, WPA2, CCMP, PSK, -90,       31,        1,   0.  0.  0.  0,   4, SHKH, 
98:A9:42:AB:6D:DB, 2026-05-16 12:31:58, 2026-05-16 12:33:43,  7, 130, WPA2, CCMP, PSK, -90,        5,        0,   0.  0.  0.  0,  13, Dialog 4G 547, 
C2:8A:60:90:AC:50, 2026-05-16 12:32:01, 2026-05-16 12:36:06, 11,  65, WPA2, CCMP, PSK, -91,        9,        0,   0.  0.  0.  0,  25, WIFIBRG001300281d01IPC035, 
00:25:00:FF:94:73, 2026-05-16 12:32:05, 2026-05-16 12:32:05, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:3F:FC:51:05:69, 2026-05-16 12:32:23, 2026-05-16 12:35:09,  6, 130, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,  13, Dialog 4G 385, 
0C:8F:FF:28:14:7C, 2026-05-16 12:32:36, 2026-05-16 12:34:53, 10, 270, WPA2 WPA, CCMP TKIP, PSK, -93,        2,        1,   0.  0.  0.  0,  11, SLT-4G-EAFC, 
60:A4:D0:DE:72:12, 2026-05-16 12:32:37, 2026-05-16 12:34:58,  6,  65, WPA2, CCMP, PSK, -87,        9,        0,   0.  0.  0.  0,   9, AndroidAP, 
5C:A0:01:AA:DC:FC, 2026-05-16 12:32:55, 2026-05-16 12:32:55, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AE:3E:2D:69:E8:48, 2026-05-16 12:33:10, 2026-05-16 12:33:10,  1, 360, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  21, TimBaTTuK's S25 Ultra, 
FC:3F:FC:91:80:C0, 2026-05-16 12:34:25, 2026-05-16 12:34:25,  6, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  13, Dialog 4G 192, 
C2:E0:7D:6D:7A:E0, 2026-05-16 12:35:05, 2026-05-16 12:35:16,  6, 130, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  10, RizkAhamed, 
50:9B:94:EA:27:4A, 2026-05-16 12:35:20, 2026-05-16 12:35:20,  1, 135, WPA2 WPA, CCMP TKIP, PSK, -85,        2,        0,   0.  0.  0.  0,  14, DDPAI_Z40_274A, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
38:BE:AB:98:13:DF, 2026-05-16 12:31:47, 2026-05-16 12:35:46, -88,       13, 98:A9:42:17:FE:C1,
A6:BC:88:35:CC:FA, 2026-05-16 12:31:47, 2026-05-16 12:36:24, -77,      559, BA:3D:EB:6D:12:5C,
C0:BF:BE:A3:7F:1E, 2026-05-16 12:31:49, 2026-05-16 12:36:12, -79,       43, B8:27:C5:49:84:4C,
16:41:B1:B3:BF:0F, 2026-05-16 12:31:50, 2026-05-16 12:31:52, -61,        8, (not associated) ,
9E:61:BC:3F:E8:81, 2026-05-16 12:31:50, 2026-05-16 12:36:17, -91,       27, 7C:11:CB:07:F3:03,
24:EB:16:56:E1:CC, 2026-05-16 12:31:50, 2026-05-16 12:36:24, -65,      343, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
D2:67:74:E3:DF:23, 2026-05-16 12:31:50, 2026-05-16 12:36:24, -73,     1211, CA:0D:E2:E0:FA:7C,
D0:57:7E:A6:B7:F1, 2026-05-16 12:31:51, 2026-05-16 12:36:25, -55,       43, 9E:02:9F:A9:99:85,
14:5A:FC:81:7E:1D, 2026-05-16 12:31:54, 2026-05-16 12:36:24, -46,      372, A6:8E:DC:82:EB:7B,Thavanathan’s iPhone
B8:4D:43:17:44:AC, 2026-05-16 12:31:55, 2026-05-16 12:34:55, -85,        5, D8:42:F7:B2:1D:B7,
38:54:F5:11:75:43, 2026-05-16 12:31:56, 2026-05-16 12:35:12, -68,       15, D8:42:F7:E2:21:7B,
E2:A6:B7:66:9B:38, 2026-05-16 12:32:01, 2026-05-16 12:32:01, -61,        2, (not associated) ,
F0:77:C3:FF:15:45, 2026-05-16 12:32:02, 2026-05-16 12:36:19, -43,       93, 9E:02:9F:A9:99:85,Boss
C0:2E:DF:AA:0B:2B, 2026-05-16 12:32:07, 2026-05-16 12:36:24, -55,       42, D8:42:F7:E2:21:7B,
46:0F:56:E0:5D:04, 2026-05-16 12:32:15, 2026-05-16 12:35:15, -82,       12, B8:27:C5:49:84:4C,
18:5E:0F:7A:0A:67, 2026-05-16 12:32:15, 2026-05-16 12:32:15,  -1,        1, 98:A9:42:09:E6:0D,
00:08:22:70:16:4C, 2026-05-16 12:32:17, 2026-05-16 12:32:17, -90,        1, (not associated) ,
08:F9:7E:DD:E2:41, 2026-05-16 12:32:22, 2026-05-16 12:36:17, -86,       67, CA:0D:E2:E0:FA:7C,
CC:5E:F8:13:C3:5D, 2026-05-16 12:32:24, 2026-05-16 12:32:24, -65,       21, (not associated) ,
0E:EB:F7:F9:4A:0A, 2026-05-16 12:32:30, 2026-05-16 12:32:30, -65,        2, (not associated) ,
DA:19:36:1A:C6:6E, 2026-05-16 12:32:47, 2026-05-16 12:32:47, -77,        2, (not associated) ,
A6:6B:A3:C9:F6:6A, 2026-05-16 12:33:09, 2026-05-16 12:33:09, -74,        5, (not associated) ,
88:28:7D:57:A9:F8, 2026-05-16 12:33:14, 2026-05-16 12:34:58, -89,        2, 98:A9:42:17:FE:C1,
FE:7B:7B:57:EF:21, 2026-05-16 12:33:14, 2026-05-16 12:33:14, -86,        1, (not associated) ,
42:FC:41:D3:2D:51, 2026-05-16 12:33:21, 2026-05-16 12:33:21, -64,        1, (not associated) ,
12:B1:66:DD:D9:03, 2026-05-16 12:33:21, 2026-05-16 12:33:21, -64,        1, (not associated) ,
CE:D8:81:2A:34:FB, 2026-05-16 12:33:21, 2026-05-16 12:33:21, -68,        1, (not associated) ,
12:72:31:10:B6:6C, 2026-05-16 12:33:21, 2026-05-16 12:33:21, -68,        1, (not associated) ,
F6:BB:F7:D2:2E:85, 2026-05-16 12:33:22, 2026-05-16 12:33:22, -70,        1, (not associated) ,
8A:52:84:DD:88:BC, 2026-05-16 12:33:22, 2026-05-16 12:33:22, -66,        2, (not associated) ,
B2:5D:E3:98:49:2B, 2026-05-16 12:33:22, 2026-05-16 12:33:22, -67,        3, (not associated) ,
BA:9A:83:D1:19:7C, 2026-05-16 12:33:22, 2026-05-16 12:33:22, -67,        2, (not associated) ,
0A:6B:29:18:56:55, 2026-05-16 12:33:22, 2026-05-16 12:33:22, -70,        1, (not associated) ,
D6:A2:7B:D4:62:B6, 2026-05-16 12:33:22, 2026-05-16 12:33:22, -72,        1, (not associated) ,
36:E3:CF:34:65:90, 2026-05-16 12:33:28, 2026-05-16 12:33:28, -73,        2, (not associated) ,
02:94:CB:BF:A9:7D, 2026-05-16 12:33:33, 2026-05-16 12:33:33, -90,        2, (not associated) ,
02:00:00:00:00:00, 2026-05-16 12:33:48, 2026-05-16 12:33:48, -79,        5, (not associated) ,
DA:1D:F7:28:AB:23, 2026-05-16 12:33:57, 2026-05-16 12:34:01, -70,        3, (not associated) ,
88:28:7D:30:98:3A, 2026-05-16 12:33:57, 2026-05-16 12:33:57,  -1,        2, 98:A9:42:17:FE:C1,
F6:2D:21:C1:EE:0B, 2026-05-16 12:34:03, 2026-05-16 12:34:03, -92,        4, (not associated) ,
